Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
403,"Remington (2) Nitro Turkey , 1-7/8ox, Qty:10/ 12ga",handgun,20,,,,0,,,,"no catalog match for this manufacturer/model",""
404,"Remington , 1-7/8oz SP4X6, Qty: 10/ 12ga",handgun,4,,,,0,,,,"no catalog match for this manufacturer/model",""
411,"Remington (3) Rimfire Hollow Points, 22 Golden Bullet, Qty: 225/",handgun,55,,,,0,,,,"no catalog match for this manufacturer/model",""
412,"Remington (2) Rimfire Hollow Points, 22 Golden Bullet, Qty: 225/",handgun,55,,,,0,,,,"no catalog match for this manufacturer/model",""
414,"Remington Express Buckshot 3in 00BK, Qty: 5/ 12ga",handgun,16,,,,0,,,,"no catalog match for this manufacturer/model",""
415,"Remington Express Buckshot 3in 00BK, Qty: 5/ 12ga",handgun,15,,,,0,,,,"no catalog match for this manufacturer/model",""
416,"Remington Buckshot 3-1/2in 00BK, Qty: 5/ 12ga",handgun,13,,,,0,,,,"no catalog match for this manufacturer/model",""
417,"Remington Buckshot 3-1/2in 00BK, Qty: 5/ 12ga",handgun,11,,,,0,,,,"no catalog match for this manufacturer/model",""
418,"Winchester (2) 3in, 1oz Hollow Point Rifled Slug, Qty: 15/ 12ga",handgun,20,,,,0,,,,"no catalog match for this manufacturer/model",""
419,"Winchester 3in, 1oz Hollow Point Rifled Slug, Qty: 15/ 12ga",handgun,12,,,,0,,,,"no catalog match for this manufacturer/model",""
420,"Winchester (2) Double X 3-1/2in, Qty: 10/ 12ga",handgun,13,,,,0,,,,"no catalog match for this manufacturer/model",""
421,"Remington Express Long Range , 2-3/4in, Qty: 25/ 20ga",handgun,11,,,,0,,,,"no catalog match for this manufacturer/model",""
422,"Winchester (4) Super X Hollow Point Rifled Slugs, Qty: 5/ 20ga",handgun,18,,,,0,,,,"no catalog match for this manufacturer/model",""
439,"Remington Golden Bullet Value Pack Brass-Plated Hollow Points, Qty: 525 .22 LR",handgun,30,,,,0,,,,"no catalog match for this manufacturer/model",""
466,"Remington 22 Golden Bullet, Qty: 225 High-Velocity Hollow Points",handgun,16,,,,0,,,,"no catalog match for this manufacturer/model",""
468,"Winchester 22LR Grain, Qty:100 .40 S&W",handgun,10,,,,0,,,,"no catalog match for this manufacturer/model",""
469,"Winchester Partial - Super X High Brass Game Loads , 2-3/4in, 1-1/4oz, 4-Lead Shot 12ga",handgun,2,,,,0,,,,"no catalog match for this manufacturer/model",""
470,"Winchester Super X High Brass Game Loads , 2-3/4in, 1-1/4oz, 8-Lead Shot 12ga",handgun,7,,,,0,,,,"no catalog match for this manufacturer/model",""
471,"Remington Partial - Express Longe Range - , 2-1/2, 1/2 oz, 6-Shot .410",handgun,10,,,,0,,,,"no catalog match for this manufacturer/model",""
472,"Winchester Partial - Super-X High Brass Game Loads - , 3in, 11/16 oz, 7-1/2 Shot .410",handgun,10,,,,0,,,,"no catalog match for this manufacturer/model",""
473,"Winchester (2) Super X , 1 - Partial .22 LR",handgun,6,,,,0,,,,"no catalog match for this manufacturer/model",""
475,"Winchester , Qty: 33 .38 Special",handgun,9,,,,0,,,,"no catalog match for this manufacturer/model",""
